Sensor ID,Sensor Name,Sensor Description,Status,Upload Date,Year Installed,Location Type,Geometry,Latitude,Longitude
22,Eli274_T,Flinders St-Elizabeth St (East),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8178644478193, 144.965068228214)",-37.8178644478193,144.965068228214
34,Fli32_T,Flinders St-Spark La,Installed,19/08/2016 12:39:50 PM +0000,2014,Outdoor,"(-37.8153798501116, 144.974150495806)",-37.8153798501116,144.974150495806
11,WatCit_T,Waterfront City,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8154565643471, 144.939579299407)",-37.8154565643471,144.939579299407
8,WebBN_T,Webb Bridge,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8229354263742, 144.947175106953)",-37.8229354263742,144.947175106953
7,Fed_T,Birrarung Marr,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8183237506589, 144.971414820121)",-37.8183237506589,144.971414820121
13,Wil277_T,Flagstaff Station,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8123434709568, 144.956647742336)",-37.8123434709568,144.956647742336
15,QV_T,State Library,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8106437830727, 144.964471322694)",-37.8106437830727,144.964471322694
27,Vic_T,QV Market-Peel St,Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8062043823034, 144.956630585614)",-37.8062043823034,144.956630585614
12,NewQ_T,New Quay,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8145798719868, 144.942923981029)",-37.8145798719868,144.942923981029
24,Col620_T,Spencer St-Collins St (North),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8188796214196, 144.95449198131)",-37.8188796214196,144.95449198131
3,Swa295_T,Melbourne Central,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8110530422788, 144.964248046779)",-37.8110530422788,144.964248046779
20,LtB170_T,Chinatown-Lt Bourke St (South),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.811729134669, 144.968246601442)",-37.811729134669,144.968246601442
31,Lyg161_T,Lygon St (West),Installed,19/08/2016 12:39:50 PM +0000,2014,Outdoor,"(-37.8016968046535, 144.966589114895)",-37.8016968046535,144.966589114895
10,BouHbr_T,Victoria Point,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8187647327542, 144.947105451213)",-37.8187647327542,144.947105451213
6,FliS_T,Flinders Street Station Underpass,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8191170445268, 144.965582558609)",-37.8191170445268,144.965582558609
21,Rus180_T,Bourke St-Russell St (West),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8124803013205, 144.967730746932)",-37.8124803013205,144.967730746932
36,Que85_T,Queen St (West),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.8164707984673, 144.961276928328)",-37.8164707984673,144.961276928328
2,Bou283_T,Bourke Street Mall (South),Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8138066724228, 144.965167185971)",-37.8138066724228,144.965167185971
38,Swa11_T,Flinders St-Swanston St (West),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.8170916806555, 144.96714779185)",-37.8170916806555,144.96714779185
28,VAC_T,The Arts Centre,Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8212992424763, 144.968793093492)",-37.8212992424763,144.968793093492
18,Col12_T,Collins Place (North),Installed,19/08/2016 12:39:47 PM +0000,2009,Outdoor,"(-37.8134486106919, 144.973053538633)",-37.8134486106919,144.973053538633
35,SouthB_T,Southbank,Installed,19/08/2016 12:39:50 PM +0000,2016,Outdoor,"(-37.8202262044322, 144.965076422932)",-37.8202262044322,144.965076422932
23,Col623_T,Spencer St-Collins St (South),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8190925593958, 144.954527490176)",-37.8190925593958,144.954527490176
33,Spr13_T,Flinders St-Spring St (West),Installed,19/08/2016 12:39:50 PM +0000,2014,Outdoor,"(-37.8148325157834, 144.974540556573)",-37.8148325157834,144.974540556573
42,UM1_T,Grattan St-Swanston St (West),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.8000856548236, 144.963864121768)",-37.8000856548236,144.963864121768
43,UM2_T,Monash Rd-Swanston St (West),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.7984452524968, 144.964117822271)",-37.7984452524968,144.964117822271
5,PriNW_T,Princes Bridge,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8187424894411, 144.967876562712)",-37.8187424894411,144.967876562712
32,CSq_T,City Square,Installed,19/08/2016 12:39:50 PM +0000,2014,Outdoor,"(-37.8157374166874, 144.966857177706)",-37.8157374166874,144.966857177706
40,Spr201_T,Lonsdale St-Spring St (West),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.8099934057793, 144.972275879457)",-37.8099934057793,144.972275879457
16,Col270_T,Australia on Collins,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8157342252752, 144.965210438559)",-37.8157342252752,144.965210438559
14,SanBri_T,Sandridge Bridge,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8201124166947, 144.96291897546)",-37.8201124166947,144.96291897546
19,LtB210_T,Chinatown-Swanston St (North),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8123720170999, 144.965506710649)",-37.8123720170999,144.965506710649
37,Lyg260_T,Lygon St (East),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.8031027095484, 144.966714517396)",-37.8031027095484,144.966714517396
26,Eli483_T,QV Market-Elizabeth St (West),Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8086954214778, 144.960494038903)",-37.8086954214778,144.960494038903
25,MCEC_T,Melbourne Convention Exhibition Centre,Installed,19/08/2016 12:39:50 PM +0000,2013,Outdoor,"(-37.8240318840833, 144.955931412038)",-37.8240318840833,144.955931412038
17,Col15_T,Collins Place (South),Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8136254240211, 144.973235916778)",-37.8136254240211,144.973235916778
44,UM3_T,Tin Alley-Swanston St (West),Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.7968227197363, 144.964353917115)",-37.7968227197363,144.964353917115
9,Col700_T,Southern Cross Station,Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8198825259225, 144.951082845706)",-37.8198825259225,144.951082845706
1,Bou292_T,Bourke Street Mall (North),Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8134944036338, 144.965153237914)",-37.8134944036338,144.965153237914
39,AlfPl_T,Alfred Place,Installed,19/08/2016 12:39:50 PM +0000,2015,Outdoor,"(-37.8138475498556, 144.970330591529)",-37.8138475498556,144.970330591529
4,Swa123_T,Town Hall (West),Installed,19/08/2016 12:39:50 PM +0000,2009,Outdoor,"(-37.8148798759503, 144.966087801437)",-37.8148798759503,144.966087801437
30,Lon189_T,Lonsdale St (South),Installed,19/08/2016 12:39:50 PM +0000,2014,Outdoor,"(-37.8112184919515, 144.966568066001)",-37.8112184919515,144.966568066001
29,AG_T,St Kilda Rd-Alexandra Gardens,Installed,19/08/2016 12:39:50 PM +0000,2014,Outdoor,"(-37.819658083823, 144.968634533137)",-37.819658083823,144.968634533137
