ObsNum,Country,Gold,Silver,Bronze,Total,GoldRank,TotRank,Population
1,USAUnitedStates,35,39,29,103,1,1,272639608
2,CHNChina,32,17,14,63,2,3,1246871951
3,RUSRussia,27,27,38,92,3,2,146393569
4,AUSAustralia,17,16,16,49,4,4,18783551
5,JPNJapan,16,9,12,37,5,6,126182077
6,GERGermany,14,16,18,48,6,5,82087361
7,FRAFrance,11,9,13,33,7,7,58978172
8,ITAItaly,10,11,11,32,8,8,56735130
9,KORSouthKorea,9,12,9,30,9,9,46884800
10,GBRGreatBritain,9,9,12,30,10,9,59113439
11,CUBCuba,9,7,11,27,11,11,11096395
12,UKRUkraine,9,5,9,23,12,12,49811174
13,HUNHungary,8,6,3,17,13,16,10186372
14,ROMRomania,8,5,6,19,14,14,22334312
15,GREGreece,6,6,4,16,15,17,10707135
16,NORNorway,5,0,1,6,16,32,4438547
17,NEDNetherlands,4,9,9,22,17,13,15807641
18,BRABrazil,4,3,3,10,18,21,171853126
19,SWESweden,4,1,2,7,19,28,8911296
20,ESPSpain,3,11,5,19,20,14,39167744
21,CANCanada,3,6,3,12,21,19,31006347
22,TURTurkey,3,3,4,10,22,21,65599206
23,POLPoland,3,2,5,10,23,21,38608929
24,NZLNewZealand,3,2,0,5,24,37,3662265
25,THAThailand,3,1,4,8,25,24,60609046
26,BLRBelarus,2,6,7,15,26,18,10401784
27,AUTAustria,2,4,1,7,27,28,8139299
28,ETHEthiopia,2,3,2,7,28,28,59680383
29,IRII.R.Iran,2,2,2,6,29,32,65179752
30,SVKSlovakia,2,2,2,6,29,32,5396193
31,TPEChineseTaipei,2,2,1,5,31,37,22113250
32,GEOGeorgia,2,2,0,4,32,46,5066499
33,BULBulgaria,2,1,9,12,33,19,8194772
34,JAMJamaica,2,1,2,5,34,37,2652443
35,UZBUzbekistan,2,1,2,5,34,37,24102473
36,MARMorocco,2,1,0,3,36,51,29661636
37,DENDenmark,2,0,6,8,37,24,5356845
38,ARGArgentina,2,0,4,6,38,32,36737664
39,CHIChile,2,0,1,3,39,51,14973843
40,KAZKazakhstan,1,4,3,8,40,24,16824825
41,KENKenya,1,4,2,7,41,28,28808658
42,CZECzechRepublic,1,3,4,8,42,24,10280513
43,RSASouthAfrica,1,3,2,6,43,32,43426386
44,CROCroatia,1,2,2,5,44,37,43426386
45,LTULithuania,1,2,0,3,45,51,3584966
46,EGYEgypt,1,1,3,5,46,37,67273906
47,SUISwitzerland,1,1,3,5,46,37,7275467
48,INAIndonesia,1,1,2,4,48,46,216108345
49,ZIMZimbabwe,1,1,1,3,49,51,11163160
50,AZEAzerbaijan,1,0,4,5,50,37,7908224
51,BELBelgium,1,0,2,3,51,51,10182034
52,BAHBahamas,1,0,1,2,52,58,283705
53,ISRIsrael,1,0,1,2,52,58,5749760
54,CMRCameroon,1,0,0,1,54,64,15456092
55,DOMDominicanRep,1,0,0,1,54,64,8129734
56,IRLIreland,1,0,0,1,54,64,3632944
57,UAEUArabEmirates,1,0,0,1,54,64,2344402
58,PRKNorthKorea,0,4,1,5,58,37,21386109
59,LATLatvia,0,4,0,4,59,46,2353874
60,MEXMexico,0,3,1,4,60,46,100294036
61,PORPortugal,0,2,1,3,61,51,9918040
62,FINFinland,0,2,0,2,62,58,5158372
63,SCGSerbia.Monteneg,0,2,0,2,62,58,11206847
64,SLOSlovenia,0,1,3,4,64,46,1970570
65,ESTEstonia,0,1,2,3,65,51,1408523
66,HKGHongKong,0,1,0,1,66,64,6847125
67,INDIndia,0,1,0,1,66,64,1000848550
68,PARParaguay,0,1,0,1,66,64,5434095
69,NGRNigeria,0,0,2,2,69,58,113828587
70,VENVenezuela,0,0,2,2,69,58,23203466
71,COLColombia,0,0,1,1,71,64,39309422
72,ERIEritrea,0,0,1,1,71,64,3984723
73,MGLMongolia,0,0,1,1,71,64,2617379
74,SYRSyrianArabRep,0,0,1,1,71,64,17213871
75,TRITrinidad.Tobago,0,0,1,1,71,64,1102096
